지역,2017년 01분기 지하1층,2017년 01분기 1층,2017년 01분기 2층,2017년 02분기 지하1층, 2017년 02분기 1층,2017년 02분기 2층
전라남도 하당신도심 효용비율,,100,74.8,,100,73.5
경상북도 임대료,,12.7,4.9,,12.7,4.9
경상북도 효용비율,,100,38.8,,100,38.8
경상북도 경주 임대료,,33,11.2,,33,11.2
경상북도 경주 효용비율,,100,33.9,,100,33.9
경상북도 구미 임대료,,13.4,5.2,,13.4,5.2
경상북도 구미 효용비율,,100,38.9,,100,38.9
경상북도 구미산업단지 임대료,,19.7,,,19.7,
경상북도 구미산업단지 효용비율,,100,,,100,
경상북도 문경 임대료,,9.8,4.2,,9.8,4.2
경상북도 문경 효용비율,,100,43.3,,100,43.3
경상북도 안동 임대료,,10.2,5,,10.2,5
경상북도 안동 효용비율,,100,49,,100,49
경상북도 영주 임대료,,5.4,1.7,,5.3,1.7
경상북도 영주 효용비율,,100,31.6,,100,31.6
경상북도 옥동사거리 임대료,,10.1,,,10.1,
경상북도 옥동사거리 효용비율,,100,,,100,
경상북도 포항 임대료,,10.8,4.6,,10.8,4.6
경상북도 포항 효용비율,,100,43,,100,43
경상남도 임대료,4.6,15.4,6.3,4.6,15.3,6.3
경상남도 효용비율,30.03,100,41.2,30.14,100,41.2
경상남도 거제 임대료,,20.4,9.3,,20.2,9.2
경상남도 거제 효용비율,,100,45.8,,100,45.6
경상남도 거제옥포 임대료,,14.6,9.7,,14.2,9.1
경상남도 거제옥포 효용비율,,100,66.5,,100,64.2
경상남도 김해 임대료,,11.1,5.6,,11.1,5.6
경상남도 김해 효용비율,,100,50.2,,100,50.2
경상남도 마산동서동 임대료,,15.2,6.7,,15.1,6.7
경상남도 마산동서동 효용비율,,100,44.4,,100,44.8
경상남도 마산역버스터미널 임대료,,16,10.6,,15.7,10.6
경상남도 마산역버스터미널 효용비율,,100,66.4,,100,67.8
경상남도 양산 임대료,,8.9,4.8,,9,4.8
경상남도 양산 효용비율,,100,53.6,,100,53.4
경상남도 진주 임대료,2.6,16.9,6.1,2.6,16.9,6.1
경상남도 진주 효용비율,15.63,100,35.9,15.63,100,35.9
경상남도 진해 임대료,,15.6,7,,15.6,7
경상남도 진해 효용비율,,100,45.3,,100,45.3
경상남도 창원시청 임대료,6.1,12.1,6.1,6.1,12.1,6.1
경상남도 창원시청 효용비율,50.16,100,50.2,50.16,100,50.2
경상남도 창원역 임대료,,18,,,18,
경상남도 창원역 효용비율,,100,,,100,
경상남도 창원월영동 임대료,,40,8.2,,40,8.2
경상남도 창원월영동 효용비율,,100,20.6,,100,20.6
경상남도 창원의창구청 임대료,,12.6,6.2,,12.6,6.2
경상남도 창원의창구청 효용비율,,100,49.7,,100,49.7
경상남도 활천동 임대료,,10.3,2.9,,10.3,2.9
경상남도 활천동 효용비율,,100,28.2,,100,28.2
제주특별자치도 임대료,2.9,11.7,6.3,2.9,11.8,6.3
제주특별자치도 효용비율,24.81,100,53.9,24.75,100,53.3
제주특별자치도 노형오거리 임대료,2.9,15,6.8,2.9,15,6.8
제주특별자치도 노형오거리 효용비율,19.59,100,45.3,19.59,100,45.3
제주특별자치도 서귀포도심 임대료,,15.5,8.9,,15.6,8.9
제주특별자치도 서귀포도심 효용비율,,100,57.8,,100,57.3
제주특별자치도 제주시 임대료,2.8,9.5,5.5,2.8,9.5,5.4
제주특별자치도 제주시 효용비율,29.98,100,58,29.98,100,56.9
